update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
600,68,0,3049,44.838235,0.000000,30.000000,-1,40.151525,40.151525,-1,6,0,217,3,0,89,119,0,83,8.058284,6.549559,6.549559,1.000000,0.862241,-1,-1,-1,-1,-1,0.146071
610,76,0,3671,48.302632,0.000000,30.000000,-1,40.156905,40.156905,-1,1,0,267,2,0,149,93,0,14,9.345395,7.277412,7.277412,1.000000,0.927633,-1,-1,-1,-1,-1,0.150663
620,76,0,3580,47.105263,0.000000,30.000000,-1,40.153911,40.153911,-1,2,0,338,7,0,115,64,0,31,9.076754,6.756579,6.756579,1.000000,0.908713,-1,-1,-1,-1,-1,0.143436
630,88,0,4167,47.352273,0.000000,30.000000,-1,40.130310,40.130310,-1,1,0,476,1,0,164,105,0,14,9.105152,6.235758,6.235758,1.000000,0.924847,-1,-1,-1,-1,-1,0.131689
640,79,0,3471,43.936709,0.000000,30.000000,-1,40.086430,40.086430,-1,6,0,363,7,0,125,106,0,76,8.936371,6.063629,6.063629,1.000000,0.850246,-1,-1,-1,-1,-1,0.138008
650,81,0,3555,43.888889,0.000000,30.000000,-1,40.113643,40.113643,-1,5,0,387,1,0,155,148,0,47,9.349835,6.041111,6.041111,1.000000,0.871469,-1,-1,-1,-1,-1,0.137646
660,77,0,3591,46.636364,0.000000,30.000000,-1,40.135895,40.135895,-1,4,0,279,2,0,121,150,0,48,8.841775,6.720996,6.720996,1.000000,0.883920,-1,-1,-1,-1,-1,0.144115
670,73,0,3410,46.712329,0.000000,30.000000,-1,40.189736,40.189736,-1,4,0,296,4,0,146,47,0,58,9.088128,6.893607,6.893607,1.000000,0.881595,-1,-1,-1,-1,-1,0.147576
680,83,0,3819,46.012048,0.000000,30.000000,-1,40.169154,40.169154,-1,2,0,379,2,0,131,119,0,27,8.832329,6.107430,6.107430,1.000000,0.900558,-1,-1,-1,-1,-1,0.132735
690,80,0,3720,46.500000,0.000000,30.000000,-1,40.136022,40.136022,-1,3,0,390,9,0,153,172,0,45,8.467208,6.136958,6.136958,1.000000,0.898417,-1,-1,-1,-1,-1,0.131978
700,78,0,3548,45.487179,0.000000,30.000000,-1,40.128805,40.128805,-1,4,0,281,3,0,135,111,0,50,8.924936,6.673355,6.673355,1.000000,0.886439,-1,-1,-1,-1,-1,0.146708
710,79,0,3698,46.810127,0.000000,30.000000,-1,40.148459,40.148459,-1,2,0,326,2,0,133,128,0,21,8.666034,6.291772,6.291772,1.000000,0.907174,-1,-1,-1,-1,-1,0.134410
720,71,0,3340,47.042254,0.000000,30.000000,-1,40.136826,40.136826,-1,1,0,472,4,0,111,88,0,14,8.952817,5.835915,5.835915,1.000000,0.915398,-1,-1,-1,-1,-1,0.124057
730,73,0,3251,44.534247,0.000000,30.000000,-1,40.134728,40.134728,-1,4,0,414,4,0,110,82,0,52,8.232580,5.648699,5.648699,1.000000,0.877385,-1,-1,-1,-1,-1,0.126839
740,67,0,3144,46.925373,0.000000,30.000000,-1,40.107824,40.107824,-1,2,0,214,3,0,107,132,0,24,9.115796,7.177736,7.177736,1.000000,0.907167,-1,-1,-1,-1,-1,0.152961
750,81,0,3769,46.530864,0.000000,30.000000,-1,40.168214,40.168214,-1,4,0,209,5,0,134,175,0,62,8.132860,6.435041,6.435041,1.000000,0.888796,-1,-1,-1,-1,-1,0.138296
760,84,0,3873,46.107143,0.000000,30.000000,-1,40.176091,40.176091,-1,1,0,434,5,0,150,145,0,14,8.881429,5.900317,5.900317,1.000000,0.914874,-1,-1,-1,-1,-1,0.127970
770,91,0,3832,42.109890,0.000000,30.000000,-1,40.196242,40.196242,-1,9,0,469,5,0,161,121,0,113,7.910330,5.276484,5.276484,1.000000,0.832687,-1,-1,-1,-1,-1,0.125303
780,83,0,3648,43.951807,0.000000,30.000000,-1,40.195724,40.195724,-1,7,0,317,5,0,133,118,0,93,7.862831,5.731546,5.731546,1.000000,0.847231,-1,-1,-1,-1,-1,0.130405
790,84,0,3920,46.666667,0.000000,30.000000,-1,40.278827,40.278827,-1,4,0,309,2,0,141,209,0,41,8.376310,6.504643,6.504643,1.000000,0.892394,-1,-1,-1,-1,-1,0.139385
